epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
36,132.552,0.58616,0.67833,0.88658,0.90772,0.96849,0.98281,0.78556,0.69571,0.6254,0.8611,0.000393533,0.000393533,0.000393533
37,136.235,0.58763,0.66815,0.88282,0.90772,0.96849,0.98281,0.78556,0.69571,0.6254,0.8611,0.000391177,0.000391177,0.000391177
38,139.927,0.58642,0.65171,0.87744,0.90772,0.96849,0.98281,0.78556,0.69571,0.6254,0.8611,0.000388821,0.000388821,0.000388821
39,143.759,0.59711,0.65523,0.88676,0.90772,0.96849,0.98281,0.78556,0.69571,0.6254,0.8611,0.000386464,0.000386464,0.000386464
40,147.414,0.57016,0.62752,0.87514,0.90772,0.96849,0.98281,0.78556,0.69571,0.6254,0.8611,0.000384108,0.000384108,0.000384108
41,151.608,0.56111,0.62585,0.87242,0.93774,0.9426,0.97827,0.80746,0.66697,0.5722,0.85634,0.000381752,0.000381752,0.000381752
42,155.501,0.56442,0.61734,0.86742,0.93774,0.9426,0.97827,0.80746,0.66697,0.5722,0.85634,0.000379396,0.000379396,0.000379396
43,159.302,0.56991,0.6197,0.86877,0.93774,0.9426,0.97827,0.80746,0.66697,0.5722,0.85634,0.00037704,0.00037704,0.00037704
44,163.091,0.56736,0.61801,0.86994,0.93774,0.9426,0.97827,0.80746,0.66697,0.5722,0.85634,0.000374683,0.000374683,0.000374683
45,166.879,0.55604,0.58824,0.8668,0.93774,0.9426,0.97827,0.80746,0.66697,0.5722,0.85634,0.000372327,0.000372327,0.000372327
46,170.751,0.54838,0.6026,0.86736,0.93774,0.9426,0.97827,0.80746,0.66697,0.5722,0.85634,0.000369971,0.000369971,0.000369971
47,174.548,0.55744,0.59064,0.86968,0.93774,0.9426,0.97827,0.80746,0.66697,0.5722,0.85634,0.000367615,0.000367615,0.000367615
48,178.392,0.56079,0.57876,0.86877,0.93774,0.9426,0.97827,0.80746,0.66697,0.5722,0.85634,0.000365259,0.000365259,0.000365259
49,182.267,0.55886,0.58657,0.88129,0.93774,0.9426,0.97827,0.80746,0.66697,0.5722,0.85634,0.000362902,0.000362902,0.000362902
50,186.077,0.55042,0.56706,0.87381,0.93774,0.9426,0.97827,0.80746,0.66697,0.5722,0.85634,0.000360546,0.000360546,0.000360546
51,189.854,0.54498,0.5618,0.87369,0.93774,0.9426,0.97827,0.80746,0.66697,0.5722,0.85634,0.00035819,0.00035819,0.00035819
52,193.788,0.55255,0.55775,0.86898,0.93774,0.9426,0.97827,0.80746,0.66697,0.5722,0.85634,0.000355834,0.000355834,0.000355834
53,197.651,0.55704,0.5596,0.87734,0.93774,0.9426,0.97827,0.80746,0.66697,0.5722,0.85634,0.000353478,0.000353478,0.000353478
54,201.517,0.5439,0.5326,0.87373,0.93774,0.9426,0.97827,0.80746,0.66697,0.5722,0.85634,0.000351121,0.000351121,0.000351121
55,205.35,0.54415,0.53931,0.86569,0.93774,0.9426,0.97827,0.80746,0.66697,0.5722,0.85634,0.000348765,0.000348765,0.000348765
56,209.259,0.5406,0.53009,0.8658,0.93774,0.9426,0.97827,0.80746,0.66697,0.5722,0.85634,0.000346409,0.000346409,0.000346409
57,213.038,0.5193,0.52229,0.87101,0.93774,0.9426,0.97827,0.80746,0.66697,0.5722,0.85634,0.000344053,0.000344053,0.000344053
58,216.901,0.52518,0.5268,0.86191,0.93774,0.9426,0.97827,0.80746,0.66697,0.5722,0.85634,0.000341697,0.000341697,0.000341697
59,220.792,0.5201,0.52177,0.85959,0.93774,0.9426,0.97827,0.80746,0.66697,0.5722,0.85634,0.00033934,0.00033934,0.00033934
60,224.652,0.52562,0.51995,0.85998,0.93774,0.9426,0.97827,0.80746,0.66697,0.5722,0.85634,0.000336984,0.000336984,0.000336984
61,229.321,0.52699,0.51247,0.85598,0.93708,0.95335,0.97335,0.80771,0.65818,0.54168,0.85527,0.000334628,0.000334628,0.000334628
62,233.152,0.50996,0.50262,0.8586,0.93708,0.95335,0.97335,0.80771,0.65818,0.54168,0.85527,0.000332272,0.000332272,0.000332272
63,237.01,0.51801,0.50656,0.8589,0.93708,0.95335,0.97335,0.80771,0.65818,0.54168,0.85527,0.000329916,0.000329916,0.000329916
64,240.91,0.52044,0.51068,0.85656,0.93708,0.95335,0.97335,0.80771,0.65818,0.54168,0.85527,0.000327559,0.000327559,0.000327559
65,244.732,0.51302,0.48893,0.85416,0.93708,0.95335,0.97335,0.80771,0.65818,0.54168,0.85527,0.000325203,0.000325203,0.000325203
66,248.683,0.52521,0.49235,0.86186,0.93708,0.95335,0.97335,0.80771,0.65818,0.54168,0.85527,0.000322847,0.000322847,0.000322847
67,252.561,0.51544,0.48379,0.85415,0.93708,0.95335,0.97335,0.80771,0.65818,0.54168,0.85527,0.000320491,0.000320491,0.000320491
68,256.46,0.50255,0.4859,0.8509,0.93708,0.95335,0.97335,0.80771,0.65818,0.54168,0.85527,0.000318135,0.000318135,0.000318135
69,260.407,0.50566,0.47733,0.85139,0.93708,0.95335,0.97335,0.80771,0.65818,0.54168,0.85527,0.000315778,0.000315778,0.000315778
70,264.384,0.50615,0.48151,0.85822,0.93708,0.95335,0.97335,0.80771,0.65818,0.54168,0.85527,0.000313422,0.000313422,0.000313422
71,268.272,0.51404,0.48955,0.85284,0.93708,0.95335,0.97335,0.80771,0.65818,0.54168,0.85527,0.000311066,0.000311066,0.000311066
72,272.135,0.51162,0.48486,0.85354,0.93708,0.95335,0.97335,0.80771,0.65818,0.54168,0.85527,0.00030871,0.00030871,0.00030871
73,276.207,0.50484,0.47779,0.85319,0.93708,0.95335,0.97335,0.80771,0.65818,0.54168,0.85527,0.000306354,0.000306354,0.000306354
74,280.261,0.49979,0.47041,0.86117,0.93708,0.95335,0.97335,0.80771,0.65818,0.54168,0.85527,0.000303997,0.000303997,0.000303997
75,284.206,0.49885,0.47195,0.85528,0.93708,0.95335,0.97335,0.80771,0.65818,0.54168,0.85527,0.000301641,0.000301641,0.000301641
76,288.135,0.48555,0.45124,0.84381,0.93708,0.95335,0.97335,0.80771,0.65818,0.54168,0.85527,0.000299285,0.000299285,0.000299285
77,292.118,0.49325,0.45688,0.85307,0.93708,0.95335,0.97335,0.80771,0.65818,0.54168,0.85527,0.000296929,0.000296929,0.000296929
78,296.099,0.49109,0.45818,0.84448,0.93708,0.95335,0.97335,0.80771,0.65818,0.54168,0.85527,0.000294573,0.000294573,0.000294573
79,299.974,0.48594,0.45041,0.84301,0.93708,0.95335,0.97335,0.80771,0.65818,0.54168,0.85527,0.000292216,0.000292216,0.000292216
80,303.891,0.49394,0.45268,0.8513,0.93708,0.95335,0.97335,0.80771,0.65818,0.54168,0.85527,0.00028986,0.00028986,0.00028986
81,308.474,0.49369,0.45095,0.85569,0.95342,0.94215,0.97884,0.80769,0.65066,0.51966,0.86007,0.000287504,0.000287504,0.000287504
82,312.388,0.48422,0.44887,0.85206,0.95342,0.94215,0.97884,0.80769,0.65066,0.51966,0.86007,0.000285148,0.000285148,0.000285148
83,316.306,0.48275,0.4489,0.84454,0.95342,0.94215,0.97884,0.80769,0.65066,0.51966,0.86007,0.000282792,0.000282792,0.000282792
84,320.156,0.50102,0.44743,0.85587,0.95342,0.94215,0.97884,0.80769,0.65066,0.51966,0.86007,0.000280435,0.000280435,0.000280435
85,324.16,0.48844,0.44886,0.85749,0.95342,0.94215,0.97884,0.80769,0.65066,0.51966,0.86007,0.000278079,0.000278079,0.000278079
86,328.081,0.47434,0.43315,0.85059,0.95342,0.94215,0.97884,0.80769,0.65066,0.51966,0.86007,0.000275723,0.000275723,0.000275723
87,331.996,0.48522,0.44518,0.84904,0.95342,0.94215,0.97884,0.80769,0.65066,0.51966,0.86007,0.000273367,0.000273367,0.000273367
88,336.002,0.47278,0.43418,0.84333,0.95342,0.94215,0.97884,0.80769,0.65066,0.51966,0.86007,0.000271011,0.000271011,0.000271011
89,340.149,0.47848,0.42942,0.84665,0.95342,0.94215,0.97884,0.80769,0.65066,0.51966,0.86007,0.000268654,0.000268654,0.000268654
90,344.03,0.48212,0.4329,0.84902,0.95342,0.94215,0.97884,0.80769,0.65066,0.51966,0.86007,0.000266298,0.000266298,0.000266298
91,347.95,0.4747,0.42318,0.84909,0.95342,0.94215,0.97884,0.80769,0.65066,0.51966,0.86007,0.000263942,0.000263942,0.000263942
92,351.861,0.47157,0.42266,0.8542,0.95342,0.94215,0.97884,0.80769,0.65066,0.51966,0.86007,0.000261586,0.000261586,0.000261586
93,355.777,0.46272,0.41406,0.8436,0.95342,0.94215,0.97884,0.80769,0.65066,0.51966,0.86007,0.00025923,0.00025923,0.00025923
94,359.782,0.45999,0.40866,0.84085,0.95342,0.94215,0.97884,0.80769,0.65066,0.51966,0.86007,0.000256873,0.000256873,0.000256873
95,363.668,0.46748,0.42259,0.83719,0.95342,0.94215,0.97884,0.80769,0.65066,0.51966,0.86007,0.000254517,0.000254517,0.000254517
96,367.608,0.46829,0.41432,0.84662,0.95342,0.94215,0.97884,0.80769,0.65066,0.51966,0.86007,0.000252161,0.000252161,0.000252161
97,371.5,0.45207,0.40932,0.84393,0.95342,0.94215,0.97884,0.80769,0.65066,0.51966,0.86007,0.000249805,0.000249805,0.000249805
98,375.394,0.45857,0.41145,0.84347,0.95342,0.94215,0.97884,0.80769,0.65066,0.51966,0.86007,0.000247449,0.000247449,0.000247449
99,379.282,0.46035,0.41682,0.83987,0.95342,0.94215,0.97884,0.80769,0.65066,0.51966,0.86007,0.000245092,0.000245092,0.000245092
100,383.282,0.4488,0.39994,0.84058,0.95342,0.94215,0.97884,0.80769,0.65066,0.51966,0.86007,0.000242736,0.000242736,0.000242736
101,387.895,0.46115,0.4076,0.84003,0.9238,0.95175,0.97815,0.79849,0.66301,0.48417,0.87812,0.00024038,0.00024038,0.00024038
102,391.795,0.44044,0.39943,0.83691,0.9238,0.95175,0.97815,0.79849,0.66301,0.48417,0.87812,0.000238024,0.000238024,0.000238024
103,395.876,0.45678,0.40423,0.84023,0.9238,0.95175,0.97815,0.79849,0.66301,0.48417,0.87812,0.000235668,0.000235668,0.000235668
104,399.933,0.44931,0.39851,0.84098,0.9238,0.95175,0.97815,0.79849,0.66301,0.48417,0.87812,0.000233311,0.000233311,0.000233311
105,403.879,0.4509,0.40296,0.83877,0.9238,0.95175,0.97815,0.79849,0.66301,0.48417,0.87812,0.000230955,0.000230955,0.000230955
106,407.861,0.44377,0.40234,0.84087,0.9238,0.95175,0.97815,0.79849,0.66301,0.48417,0.87812,0.000228599,0.000228599,0.000228599
107,411.853,0.46096,0.39863,0.83909,0.9238,0.95175,0.97815,0.79849,0.66301,0.48417,0.87812,0.000226243,0.000226243,0.000226243
108,415.794,0.44773,0.38612,0.83519,0.9238,0.95175,0.97815,0.79849,0.66301,0.48417,0.87812,0.000223887,0.000223887,0.000223887
109,419.8,0.44574,0.39489,0.83857,0.9238,0.95175,0.97815,0.79849,0.66301,0.48417,0.87812,0.00022153,0.00022153,0.00022153
110,423.818,0.43123,0.38098,0.8386,0.9238,0.95175,0.97815,0.79849,0.66301,0.48417,0.87812,0.000219174,0.000219174,0.000219174
111,427.7,0.44441,0.38993,0.8376,0.9238,0.95175,0.97815,0.79849,0.66301,0.48417,0.87812,0.000216818,0.000216818,0.000216818
112,431.723,0.43398,0.3781,0.83424,0.9238,0.95175,0.97815,0.79849,0.66301,0.48417,0.87812,0.000214462,0.000214462,0.000214462
113,435.57,0.44556,0.38527,0.84036,0.9238,0.95175,0.97815,0.79849,0.66301,0.48417,0.87812,0.000212106,0.000212106,0.000212106
114,439.544,0.43935,0.38059,0.83183,0.9238,0.95175,0.97815,0.79849,0.66301,0.48417,0.87812,0.000209749,0.000209749,0.000209749
115,443.541,0.42845,0.38569,0.84595,0.9238,0.95175,0.97815,0.79849,0.66301,0.48417,0.87812,0.000207393,0.000207393,0.000207393
116,447.497,0.43306,0.37675,0.84177,0.9238,0.95175,0.97815,0.79849,0.66301,0.48417,0.87812,0.000205037,0.000205037,0.000205037
117,451.383,0.4289,0.36799,0.83129,0.9238,0.95175,0.97815,0.79849,0.66301,0.48417,0.87812,0.000202681,0.000202681,0.000202681
118,455.398,0.42339,0.36627,0.83837,0.9238,0.95175,0.97815,0.79849,0.66301,0.48417,0.87812,0.000200325,0.000200325,0.000200325
119,459.5,0.42955,0.37446,0.83991,0.9238,0.95175,0.97815,0.79849,0.66301,0.48417,0.87812,0.000197968,0.000197968,0.000197968
120,463.49,0.41953,0.36502,0.83555,0.9238,0.95175,0.97815,0.79849,0.66301,0.48417,0.87812,0.000195612,0.000195612,0.000195612
121,468.199,0.41819,0.3594,0.82648,0.95401,0.9338,0.97672,0.81689,0.63521,0.4761,0.84712,0.000193256,0.000193256,0.000193256
122,472.246,0.42953,0.36892,0.8308,0.95401,0.9338,0.97672,0.81689,0.63521,0.4761,0.84712,0.0001909,0.0001909,0.0001909
123,476.194,0.41179,0.36597,0.83402,0.95401,0.9338,0.97672,0.81689,0.63521,0.4761,0.84712,0.000188544,0.000188544,0.000188544
124,480.139,0.41702,0.36038,0.83639,0.95401,0.9338,0.97672,0.81689,0.63521,0.4761,0.84712,0.000186187,0.000186187,0.000186187
125,484.23,0.42116,0.36748,0.83856,0.95401,0.9338,0.97672,0.81689,0.63521,0.4761,0.84712,0.000183831,0.000183831,0.000183831
126,488.366,0.41625,0.3674,0.83563,0.95401,0.9338,0.97672,0.81689,0.63521,0.4761,0.84712,0.000181475,0.000181475,0.000181475
127,492.325,0.41548,0.36028,0.83348,0.95401,0.9338,0.97672,0.81689,0.63521,0.4761,0.84712,0.000179119,0.000179119,0.000179119
128,496.369,0.4093,0.35941,0.82609,0.95401,0.9338,0.97672,0.81689,0.63521,0.4761,0.84712,0.000176763,0.000176763,0.000176763
129,500.459,0.40689,0.3575,0.83293,0.95401,0.9338,0.97672,0.81689,0.63521,0.4761,0.84712,0.000174406,0.000174406,0.000174406
